date,index,start,end,type,P,dD,dD_dev,dO,dO_dev,d_excess,min_temp,max_temp,temp,precip,duration,gwt,gwt2
132,2017-04-30,132,2017-04-30 20:00:00,2017-05-01,R,0.1,-2.38,0.11,1.97,0.02,-18.14,11.75,15.33,13.48,0.1,5,E,Meridional
133,2017-05-01,133,2017-05-01,2017-05-01 04:00:00,R,0.2,-27.38,0.13,-2.51,0.02,-7.3,7.03,11.75,8.58,0.2,5,E,Meridional
134,2017-05-01,134,2017-05-01 04:00:00,2017-05-01 08:00:00,R,1.3,-66.85,0.1,-9.92,0.04,12.51,6.7,7.55,7.03,1.4,5,E,Meridional
135,2017-05-03,135,2017-05-02 20:00:00,2017-05-03,R,0.2,-52.74,0.14,-7.02,0.04,3.41999999999999,8,8.88,8.3,0.2,5,E,Meridional
136,2017-05-03,136,2017-05-03,2017-05-03 04:00:00,R,1.1,-67.4,0.17,-9.56,0.04,9.08,7.05,8,7.55,1.3,5,E,Meridional
137,2017-05-03,137,2017-05-03 04:00:00,2017-05-03 08:00:00,R,0.1,-70.14,0.08,-10.03,0.06,10.1,6.88,10.4,7.6,0.1,5,E,Meridional
138,2017-05-03,138,2017-05-03 08:00:00,2017-05-03 10:30:00,R,0.1,-62.58,0.06,-8.49,0.04,5.34,10.4,12.73,11.63,0.1,4,E,Meridional
139,2017-05-03,139,2017-05-03 10:30:00,2017-05-03 16:00:00,R,0.1,-48.79,0.31,-6.32,0.05,1.77,9.65,12.8,12.175,0.1,6,E,Meridional
140,2017-05-03,140,2017-05-03 16:00:00,2017-05-03 20:00:00,R,2.7,-56.11,0.17,-8.89,0.02,15.01,8.23,10.6,9.65,2.7,5,E,Meridional
141,2017-05-04,141,2017-05-04 16:00:00,2017-05-04 20:00:00,R,0.1,-59.99,0.13,-8.11,0.05,4.88999999999999,11.13,14.73,13.13,0.1,5,E,Meridional
142,2017-05-06,142,2017-05-06 12:00:00,2017-05-06 16:00:00,R,1.2,-22.21,0.33,-3.32,0.08,4.35,13.03,14.23,14.23,1.2,5,N,Meridional
