date,ID,Sampling start,Sampling end,Precipitation type,Rainfall [mm],dD,dD stdev,d18O,d18O stdev,d_excess,time,duration,gwt
168,2017-06-02,176,2017-06-02 15:00:00,2017-06-02 20:00:00,R,0.1,-14.75,0.28,-0.77,0.02,-8.59,15,5,West
169,2017-06-03,179,2017-06-03 04:00:00,2017-06-03 08:00:00,R,0.2,-11.56,0.13,-1.79,0.02,2.76,4,4,West
170,2017-06-03,178,2017-06-03,2017-06-03 04:00:00,R,0.5,-13.8,0.11,-2.18,0.04,3.64,0,4,West
171,2017-06-06,181,2017-06-06 16:00:00,2017-06-06 20:00:00,R,7.6,-57.63,0.09,-7.96,0.04,6.05,15,4,West
172,2017-06-07,182,2017-06-07,2017-06-07 04:00:00,R,0,-10.85,0.11,-0.79,0.03,-4.53,0,4,West
173,2017-06-07,183,2017-06-07 08:00:00,2017-06-07 12:00:00,R,0.5,-13.58,0.07,-1.86,0.04,1.3,8,3,West
174,2017-06-07,184,2017-06-07 12:00:00,2017-06-07 16:00:00,R,1.9,-18.3,0.15,-3.08,0.05,6.34,12,4,West
175,2017-06-09,185,2017-06-09 08:00:00,2017-06-09 12:00:00,R,2.6,-46.5,0.11,-6.98,0.06,9.34,7,5,High CE
176,2017-06-09,186,2017-06-09 12:00:00,2017-06-09 16:00:00,R,2.6,-56.21,0.04,-7.76,0.04,5.87,12,4,High CE
177,2017-06-15,187,2017-06-15 12:00:00,2017-06-15 16:00:00,R,1,-20.89,0.1,-1.96,0.07,-5.21,12,4,North West
178,2017-06-27,188,2017-06-27,2017-06-27 04:00:00,R,3.4,-25.71,0.25,-3.51,0.06,2.37,0,4,South
179,2017-06-27,189,2017-06-27 04:00:00,2017-06-27 08:00:00,R,1,-18.51,0.14,-2.93,0.02,4.93,4,4,South
180,2017-06-27,192,2017-06-27 16:00:00,2017-06-27 20:00:00,R,0.9,-10.16,0.2,-1.91,0.03,5.12,16,4,South
181,2017-06-27,190,2017-06-27 08:00:00,2017-06-27 10:30:00,R,2.8,-15.17,0.18,-2.91,0.07,8.11,8,3,South
182,2017-06-27,191,2017-06-27 10:00:00,2017-06-27 16:00:00,R,7.5,-14.38,0.15,-2.78,0.1,7.86,10,6,South
183,2017-06-28,194,2017-06-28 04:00:00,2017-06-28 08:00:00,R,2.1,-46.92,0.12,-7.35,0.04,11.88,4,4,South
184,2017-06-28,193,2017-06-28,2017-06-28 04:00:00,R,9.6,-43.16,0.25,-6.59,0.04,9.56,0,4,South
185,2017-06-28,195,2017-06-28 08:00:00,2017-06-28 12:00:00,R,0.6,-33.79,0.06,-5.25,0.05,8.21,8,4,South
186,2017-06-28,197,2017-06-28 16:00:00,2017-06-28 20:00:00,R,5.7,-54.56,0.17,-7.87,0.04,8.4,16,4,South
187,2017-06-29,199,2017-06-29 08:00:00,2017-06-29 12:00:00,R,0.4,-38.21,0.11,-5.63,0.04,6.83,8,4,South
